version_id,gtin,pid,version,productName_en,productName_fr,currentStatus,memberCode,modifiedDateTime,rejectedStatus,brandName_en,brandName_fr,brandURL_en,ca_brandOwnerVersionCode_en,classificationCategoryCode_en,retailerCategoryCode,countryOfOrigin_en,gpcCode_en,nameOfBrandOwner_en,initialContentReceivedDate_en,manufacturer_en,packageSize_en,productURL_en,productImageThumbnailURL_en,productImageURL_en,last_modified_date,discontinuedDate,archiveDate,loadingOption,imageLocation,productURL_fr,last_modified_by,isDiscontinued,IsClaimSaved,isBovEmptyOnLoading,isDeleted,lastExportDate,certificationService,locationId,productType,gtinType,barCodeSymbology,size,sizeUOM,totalUnits_RetailPack,versionReason,delegateToTpId,LastETLValidatedDate,brandDistributionType
89,00055270843031,89,635292006398346209,GRACE DRINK KOLA CHAMPAGNE,GRACE BOISSON CHAMPAGNE DES KOLAS,verified,,2013-04-04T15:36:31Z,0,GRACE,GRACE,,,,103001,,10000201,GRACE KENNEDY CO. LTD,2010-03-30,,2 L,,,,635292006398346209,NULL,NULL,7540000000707,00055270843031\89,,NULL,0,0,1,0,636592287264498592,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,00055270844304,90,635292006398876239,GRACE SOUP MIX COCK SPICY,GRACE MELANGE DE SOUPE COQ PIMENTE,verified,,2013-04-04T17:12:30Z,0,GRACE,GRACE,,,,104202,,10000262,GRACE KENNEDY CO. LTD,2010-03-30,,43 g,,,,635292006398876239,NULL,NULL,7540000000707,00055270844304\90,,NULL,0,0,1,0,636592287264668601,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,00055270853412,91,635292006399426270,GRACE CORNED BEEF HALAL,GRACE BOEUF SALÉ HALAL,verified,,2013-02-25T13:02:09Z,0,GRACE,GRACE,,,,100902,,10005767,Grace Kennedy Co. Ltd,2009-10-21,,340 g,,,,635292006399426270,NULL,NULL,7540000000707,00055270853412\91,,NULL,0,0,1,0,636592287322981937,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,00055270855287,92,635292006400076308,GRACE OIL VIRGIN COCONUT,GRACE HUILE COCO VIERGE,verified,,2014-01-10T18:43:58Z,0,GRACE,GRACE,,,,103401,,10000040,Grace Kennedy Co. Ltd,2013-12-02,,500 ML,,,,635292006400076308,NULL,NULL,7540000000707,00055270855287\92,,NULL,0,0,1,0,636592287323101944,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,00055270764015,93,635292006400756346,GRACE BROWNING CARAMEL,GRACE BROWNING CARAMEL,verified,,2013-02-25T12:52:52Z,0,GRACE,*GRACE,,,,104302,,10000057,Grace Kennedy Co. Ltd,2010-04-06,,142 ML,,,,635292006400756346,NULL,NULL,7540000000707,00055270764015\93,,NULL,0,0,1,0,636592287260188345,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,00055270765012,94,635292006401386383,GRACE SYRUP STRABERRY,GRACE SIROP FRAISE,verified,,2013-04-04T20:47:30Z,0,GRACE,GRACE,,,,104602,,10000044,GRACE KENNEDY CO. LTD,2010-04-06,,750 ML,,,,635292006401386383,NULL,NULL,7540000000707,00055270765012\94,,NULL,0,0,1,0,636592287260308352,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,00055270831441,95,635292006402026419,GRACE WATER COCONUT WITH PULP,GRACE EAU DE NOIX DE COCO AVEC PULPE,verified,,2013-04-04T16:32:09Z,0,GRACE,GRACE,,,,103001,,10000223,GRACE KENNEDY CO. LTD,2010-03-30,,330 ml,,,,635292006402026419,NULL,NULL,7540000000707,00055270831441\95,,NULL,0,0,1,0,636592287260428359,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,00055270844311,96,635292006402566450,GRACE SOUP MIX CHICKEN NOODLE,GRACE MELANGE DE SOUPE POULET ET NOUILLES,verified,,2013-04-04T17:16:15Z,0,GRACE,GRACE,,,,104202,,10000262,GRACE KENNEDY CO. LTD,2010-03-30,,60 g,,,,635292006402566450,NULL,NULL,7540000000707,00055270844311\96,,NULL,0,0,1,0,636592287264828611,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,00055270844328,97,635292006403156484,GRACE SOUP MIX FISH TEA,GRACE MELANGE DE SOUPE POISSON,verified,,2013-04-04T17:13:53Z,0,GRACE,GRACE,,,,104202,,10000262,GRACE KENNEDY CO. LTD,2010-03-30,,45 g,,,,635292006403156484,NULL,NULL,7540000000707,00055270844328\97,,NULL,0,0,1,0,636592287264948617,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,00055270860144,98,635292006403686514,GRACE SUGAR ORGANIC COCONUT,GRACE SUCRE BIOLOGIQUE NOIX COCO,verified,,2013-12-23T21:08:06Z,0,GRACE,GRACE,,,,104501,,10000043,Grace Kennedy Co. Ltd,2013-12-02,,500 G,,,,635292006403686514,NULL,NULL,7540000000707,00055270860144\98,,NULL,0,0,1,0,636592287323221950,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,00055270952146,99,635292006404776576,GRACE OATS INSTANT,GRACE GRUAU INSTANT,verified,,2013-04-04T16:41:32Z,0,GRACE,GRACE,,,,101102,,10000285,GRACE KENNEDY CO. LTD,2010-03-30,,1 kg,,,,635292006404776576,NULL,NULL,7540000000707,00055270952146\99,,NULL,0,0,1,0,636592287323331957,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,00055270953389,100,635292006405456615,GRACE MILK CONDENSED SWEETENED,GRACE LAIT CONDENSE SUCRÉ,verified,,2013-02-22T20:16:24Z,0,GRACE,GRACE,,,,103101,,10000026,Grace Kennedy Co. Ltd,2010-03-30,,300 ML,,,,635292006405456615,NULL,NULL,7540000000707,00055270953389\100,,NULL,0,0,1,0,636592287323441963,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
