pid,gtin,gln,targetMarketCountryCode,isDeleted,last_modified_date
23325,00014100197409,0063211000016,CA,0         ,2014-02-28 17:39:43.3930000
23326,00014100208136,0063211000016,CA,0         ,2014-02-28 17:39:43.4470000
23327,00014100208150,0063211000016,CA,0         ,2014-02-28 17:39:43.5070000
23328,00014100208556,0063211000016,CA,0         ,2014-02-28 17:39:43.5700000
23329,00014100208679,0063211000016,CA,0         ,2014-02-28 17:39:43.6400000
23330,00014100208822,0063211000016,CA,0         ,2014-02-28 17:39:43.7030000
23335,00014100208839,0063211000016,CA,0         ,2014-02-28 17:39:44.0270000
23336,00014100209027,0063211000016,CA,0         ,2014-02-28 17:39:44.0930000
23365,00014100209034,0063211000016,CA,0         ,2014-02-28 17:39:45.8830000
16161,00014113210331,0014113000000,CA,0         ,2014-02-28 17:09:20.7230000
16162,00014113533881,0014113000000,CA,0         ,2014-02-28 17:09:20.7900000
16163,00014113533898,0014113000000,CA,0         ,2014-02-28 17:09:20.8400000
16164,00014113534147,0014113000000,CA,0         ,2014-02-28 17:09:20.9000000
16165,00014113534154,0014113000000,CA,0         ,2014-02-28 17:09:20.9670000
16166,00014113912082,0014113000000,CA,0         ,2014-02-28 17:09:21.0300000
16167,00014113912099,0014113000000,CA,0         ,2014-02-28 17:09:21.0970000
16168,00014113913430,0014113000000,CA,0         ,2014-02-28 17:09:21.1600000
2464,00014285001935,0671606000017,CA,0         ,2014-02-28 16:18:40.1270000
16631,00015000045906,0059800000017,CA,0         ,2014-02-28 17:11:30.1070000
16632,00015000045913,0059800000017,CA,0         ,2014-02-28 17:11:30.1830000
16633,00015000045920,0059800000017,CA,0         ,2014-02-28 17:11:30.2530000
16634,00015000045944,0059800000017,CA,0         ,2014-02-28 17:11:30.3170000
16635,00015000046927,0059800000017,CA,0         ,2014-02-28 17:11:30.3770000
16636,00015000046934,0059800000017,CA,0         ,2014-02-28 17:11:30.4770000
16637,00015000048419,0059800000017,CA,0         ,2014-02-28 17:11:30.5400000
16638,00015000048426,0059800000017,CA,0         ,2014-02-28 17:11:30.6070000
16647,00015000049805,0059800000017,CA,0         ,2014-02-28 17:11:31.2230000
16648,00015000049829,0059800000017,CA,0         ,2014-02-28 17:11:31.2900000
16666,00015000049836,0059800000017,CA,0         ,2014-02-28 17:11:32.6600000
16667,00015000049850,0059800000017,CA,0         ,2014-02-28 17:11:32.7330000
16694,00015000049881,0059800000017,CA,0         ,2014-02-28 17:11:34.5670000
16695,00015000141059,0059800000017,CA,0         ,2014-02-28 17:11:34.6130000
16722,00015000141073,0059800000017,CA,0         ,2014-02-28 17:11:52.1400000
16723,00015000141097,0059800000017,CA,0         ,2014-02-28 17:11:52.2000000
16790,00015000141172,0059800000017,CA,0         ,2014-02-28 17:11:56.9900000
16791,00015000141196,0059800000017,CA,0         ,2014-02-28 17:11:57.0600000
16792,00015000141219,0059800000017,CA,0         ,2014-02-28 17:11:57.1270000
16793,00015000141233,0059800000017,CA,0         ,2014-02-28 17:11:57.2000000
16820,00015000141257,0059800000017,CA,0         ,2014-02-28 17:12:14.7970000
16821,00015000141387,0059800000017,CA,0         ,2014-02-28 17:12:14.8570000
16968,00015000141547,0059800000017,CA,0         ,2014-02-28 17:12:39.2930000
16969,00015000141578,0059800000017,CA,0         ,2014-02-28 17:12:39.3600000
16367,00015205201114,0058562000013,CA,0         ,2014-02-28 17:10:24.0170000
16368,00015205201213,0058562000013,CA,0         ,2014-02-28 17:10:24.0670000
16430,00015205201312,0058562000013,CA,0         ,2014-02-28 17:10:27.9700000
16365,00015205360002,0058562000013,CA,0         ,2014-02-28 17:10:23.9100000
16366,00015205364109,0058562000013,CA,0         ,2014-02-28 17:10:23.9700000
16369,00015205364505,0058562000013,CA,0         ,2014-02-28 17:10:24.1170000
16370,00015205405000,0058562000013,CA,0         ,2014-02-28 17:10:24.1730000
16371,00015205408001,0058562000013,CA,0         ,2014-02-28 17:10:24.2330000
16372,00015205408100,0058562000013,CA,0         ,2014-02-28 17:10:24.2830000
16373,00015205409107,0058562000013,CA,0         ,2014-02-28 17:10:24.3400000
16374,00015205415306,0058562000013,CA,0         ,2014-02-28 17:10:24.3930000
16375,00015205418109,0058562000013,CA,0         ,2014-02-28 17:10:24.4700000
16376,00015205425008,0058562000013,CA,0         ,2014-02-28 17:10:24.5100000
16377,00015205425107,0058562000013,CA,0         ,2014-02-28 17:10:24.5730000
16378,00015205425206,0058562000013,CA,0         ,2014-02-28 17:10:24.6330000
16379,00015205428108,0058562000013,CA,0         ,2014-02-28 17:10:24.6930000
16380,00015205439104,0058562000013,CA,0         ,2014-02-28 17:10:24.7630000
16381,00015205465103,0058562000013,CA,0         ,2014-02-28 17:10:24.8100000
16382,00015205500101,0058562000013,CA,0         ,2014-02-28 17:10:24.8670000
16383,00015205500200,0058562000013,CA,0         ,2014-02-28 17:10:24.9200000
16384,00015205500309,0058562000013,CA,0         ,2014-02-28 17:10:24.9700000
16402,00015205500408,0058562000013,CA,0         ,2014-02-28 17:10:26.0400000
16403,00015205500507,0058562000013,CA,0         ,2014-02-28 17:10:26.0970000
16588,00015205610107,0058562000013,CA,0         ,2014-02-28 17:11:05.3200000
16589,00015205720004,0058562000013,CA,0         ,2014-02-28 17:11:05.3670000
16590,00015205720103,0058562000013,CA,0         ,2014-02-28 17:11:05.4300000
16591,00015205720301,0058562000013,CA,0         ,2014-02-28 17:11:05.4800000
16592,00015205835302,0058562000013,CA,0         ,2014-02-28 17:11:05.5230000
16593,00015205950326,0058562000013,CA,0         ,2014-02-28 17:11:05.5730000
28619,00015300435001,0055577000014,CA,0         ,2014-02-28 18:01:22.2700000
28596,00015300435018,0055577000014,CA,0         ,2014-02-28 18:01:20.6700000
28597,00015300435032,0055577000014,CA,0         ,2014-02-28 18:01:20.7600000
26020,00015839021218,0060822000015,CA,0         ,2014-02-28 17:51:26.6530000
26021,00015839021232,0060822000015,CA,0         ,2014-02-28 17:51:26.7000000
26065,00015839021775,0060822000015,CA,0         ,2014-02-28 17:51:30.2730000
21949,00015883143652,0062356000011,CA,0         ,2014-02-28 17:32:06.8930000
23857,00016600000098,0065912000012,CA,0         ,2014-02-28 17:42:07.1770000
23858,00016600000197,0065912000012,CA,0         ,2014-02-28 17:42:07.2400000
23859,00016600000296,0065912000012,CA,0         ,2014-02-28 17:42:07.3000000
23860,00016600000395,0065912000012,CA,0         ,2014-02-28 17:42:07.3730000
23861,00016600000760,0065912000012,CA,0         ,2014-02-28 17:42:07.4330000
23862,00016600000975,0065912000012,CA,0         ,2014-02-28 17:42:07.4900000
23863,00016600010202,0065912000012,CA,0         ,2014-02-28 17:42:07.5500000
23864,00016600010233,0065912000012,CA,0         ,2014-02-28 17:42:07.6100000
23865,00016600010240,0065912000012,CA,0         ,2014-02-28 17:42:07.6730000
23866,00016600010288,0065912000012,CA,0         ,2014-02-28 17:42:07.7300000
23867,00016600100026,0065912000012,CA,0         ,2014-02-28 17:42:07.7900000
23868,00016600120024,0065912000012,CA,0         ,2014-02-28 17:42:07.8530000
23869,00016600130023,0065912000012,CA,0         ,2014-02-28 17:42:07.9200000
23914,00016600190027,0065912000012,CA,0         ,2014-02-28 17:42:10.6470000
7436,00017082007094,0017082000194,CA,0         ,2014-02-28 16:37:10.8330000
7437,00017082007377,0017082000194,CA,0         ,2014-02-28 16:37:10.8900000
7442,00017082007391,0017082000194,CA,0         ,2014-02-28 16:37:11.1630000
7443,00017082007506,0017082000194,CA,0         ,2014-02-28 16:37:11.2170000
7446,00017082110060,0017082000194,CA,0         ,2014-02-28 16:37:11.3600000
7447,00017082110077,0017082000194,CA,0         ,2014-02-28 16:37:11.4100000
7464,00017082110138,0017082000194,CA,0         ,2014-02-28 16:37:12.3830000
7465,00017082110213,0017082000194,CA,0         ,2014-02-28 16:37:12.4630000
7432,00017082110763,0017082000194,CA,0         ,2014-02-28 16:37:10.6000000
7433,00017082117274,0017082000194,CA,0         ,2014-02-28 16:37:10.6600000
7434,00017082117304,0017082000194,CA,0         ,2014-02-28 16:37:10.7130000
7435,00017082117311,0017082000194,CA,0         ,2014-02-28 16:37:10.7770000
7438,00017082117328,0017082000194,CA,0         ,2014-02-28 16:37:10.9470000
7439,00017082117335,0017082000194,CA,0         ,2014-02-28 16:37:11.0100000
7440,00017082117342,0017082000194,CA,0         ,2014-02-28 16:37:11.0600000
7441,00017082117434,0017082000194,CA,0         ,2014-02-28 16:37:11.1130000
7444,00017082117571,0017082000194,CA,0         ,2014-02-28 16:37:11.2700000
7445,00017082117625,0017082000194,CA,0         ,2014-02-28 16:37:11.3200000
7448,00017082117632,0017082000194,CA,0         ,2014-02-28 16:37:11.4700000
7449,00017082470096,0017082000194,CA,0         ,2014-02-28 16:37:11.5330000
7450,00017082470157,0017082000194,CA,0         ,2014-02-28 16:37:11.5800000
7451,00017082470195,0017082000194,CA,0         ,2014-02-28 16:37:11.6300000
7452,00017082600141,0017082000194,CA,0         ,2014-02-28 16:37:11.6800000
7453,00017082600769,0017082000194,CA,0         ,2014-02-28 16:37:11.7400000
7454,00017082707253,0017082000194,CA,0         ,2014-02-28 16:37:11.7930000
7455,00017082770370,0017082000194,CA,0         ,2014-02-28 16:37:11.8430000
7456,00017082770394,0017082000194,CA,0         ,2014-02-28 16:37:11.9030000
7457,00017082770509,0017082000194,CA,0         ,2014-02-28 16:37:11.9530000
7458,00017082873590,0017082000194,CA,0         ,2014-02-28 16:37:12.0100000
7459,00017082873774,0017082000194,CA,0         ,2014-02-28 16:37:12.0670000
7460,00017082890009,0017082000194,CA,0         ,2014-02-28 16:37:12.1370000
7461,00017082890160,0017082000194,CA,0         ,2014-02-28 16:37:12.1930000
7462,00017082890245,0017082000194,CA,0         ,2014-02-28 16:37:12.2500000
7463,00017082897824,0017082000194,CA,0         ,2014-02-28 16:37:12.3130000
7466,00017082897831,0017082000194,CA,0         ,2014-02-28 16:37:12.5400000
24770,00017600021069,0008274656565,CA,0         ,2014-02-28 17:45:41.5470000
24771,00017600021076,0008274656565,CA,0         ,2014-02-28 17:45:41.6100000
24772,00017600021205,0008274656565,CA,0         ,2014-02-28 17:45:41.6800000
24773,00017600021212,0008274656565,CA,0         ,2014-02-28 17:45:41.7470000
24774,00017600021229,0008274656565,CA,0         ,2014-02-28 17:45:41.8070000
24775,00017600021380,0008274656565,CA,0         ,2014-02-28 17:45:41.8770000
24776,00017600021472,0008274656565,CA,0         ,2014-02-28 17:45:41.9330000
24777,00017600021502,0008274656565,CA,0         ,2014-02-28 17:45:41.9900000
24778,00017600021762,0008274656565,CA,0         ,2014-02-28 17:45:42.0530000
24779,00017600021779,0008274656565,CA,0         ,2014-02-28 17:45:42.1130000
24780,00017600041012,0008274656565,CA,0         ,2014-02-28 17:45:42.1700000
24781,00017600081025,0008274656565,CA,0         ,2014-02-28 17:45:42.2330000
24782,00017600081223,0008274656565,CA,0         ,2014-02-28 17:45:42.3000000
24783,00017600081254,0008274656565,CA,0         ,2014-02-28 17:45:42.3570000
24784,00017600082046,0008274656565,CA,0         ,2014-02-28 17:45:42.4100000
24785,00017600082053,0008274656565,CA,0         ,2014-02-28 17:45:42.4930000
24786,00017600082145,0008274656565,CA,0         ,2014-02-28 17:45:42.5500000
24787,00017600085542,0008274656565,CA,0         ,2014-02-28 17:45:42.6130000
24788,00017600086105,0008274656565,CA,0         ,2014-02-28 17:45:42.6700000
24789,00017600087126,0008274656565,CA,0         ,2014-02-28 17:45:42.7400000
24790,00017600087454,0008274656565,CA,0         ,2014-02-28 17:45:42.8030000
24791,00017600087522,0008274656565,CA,0         ,2014-02-28 17:45:42.8600000
24792,00017600087973,0008274656565,CA,0         ,2014-02-28 17:45:42.9230000
24797,00017600087997,0008274656565,CA,0         ,2014-02-28 17:45:43.2230000
24798,00017600088024,0008274656565,CA,0         ,2014-02-28 17:45:43.2900000
24799,00017600088062,0008274656565,CA,0         ,2014-02-28 17:45:43.3470000
24800,00017600088116,0008274656565,CA,0         ,2014-02-28 17:45:43.3970000
24801,00017600089267,0008274656565,CA,0         ,2014-02-28 17:45:43.4530000
2988,00017869357374,0017869000003,CA,0         ,2014-02-28 16:20:36.0300000
2989,00017869753152,0017869000003,CA,0         ,2014-02-28 16:20:36.1100000
2990,00017869757778,0017869000003,CA,0         ,2014-02-28 16:20:36.1530000
2991,00017869757785,0017869000003,CA,0         ,2014-02-28 16:20:36.2070000
1044,00018195700179,0059491000013,CA,0         ,2014-02-28 16:13:39.9230000
1045,00018195800008,0059491000013,CA,0         ,2014-02-28 16:13:39.9970000
15730,00018195801005,0627928000013,CA,0         ,2014-02-28 17:07:38.9600000
967,00018195802002,0059491000013,CA,0         ,2014-02-28 16:13:34.8430000
968,00018195803009,0059491000013,CA,0         ,2014-02-28 16:13:34.9070000
24834,00018337012207,0018337000006,CA,0         ,2014-02-28 17:45:46.1100000
12661,00018400313477,0018400000001,CA,0         ,2014-02-28 16:55:52.9830000
12662,00018400313484,0018400000001,CA,0         ,2014-02-28 16:55:53.0370000
11420,00018627281818,0064100000018,CA,0         ,2014-02-28 16:51:21.3170000
11421,00018627300144,0064100000018,CA,0         ,2014-02-28 16:51:21.3800000
11422,00018627300151,0064100000018,CA,0         ,2014-02-28 16:51:21.4430000
11423,00018627300175,0064100000018,CA,0         ,2014-02-28 16:51:21.5000000
11424,00018627382515,0064100000018,CA,0         ,2014-02-28 16:51:21.5670000
11425,00018627382522,0064100000018,CA,0         ,2014-02-28 16:51:21.6270000
11426,00018627382539,0064100000018,CA,0         ,2014-02-28 16:51:21.7000000
11427,00018627436102,0064100000018,CA,0         ,2014-02-28 16:51:21.7730000
11428,00018627451655,0064100000018,CA,0         ,2014-02-28 16:51:21.8400000
